Cell type name,Cell class,Short name for MS,Helmstaeder name,EW1 name,Other names,EW II Type,Reference,Reference links,temporary comments,Stratification,peak position,Axon ,Dendritic field size,Dendritic field shape,Dendrite shape ,Dendritic field density,Soma layers,Surround suppression level,Response kinetics,Response polarity,Spiking,OS,DS,Count,Example
A1,AC,A1,-,-,nNOS-1,,"Park et al., 2020",,"has been called A1 in primates, cat and rabbit ",bistratified low/deep,,yes,wide,,,,GCL,,,ON,,,,93,D234
A2,AC,A2,H24,-,,,,,,bistratified diffuse ,0,no,small ,symmetric,curly,dense,INL,,,ON,,,,83,G374
A17,AC,A17,H49,-,,,"Nelson & Kolb, 1985",,,monostratified diffuse,0,,wide,symmetric,wavy,dense,INL/GCL,,,ON,,,,79,D88
Bowtie deep in IPL,AC,Bowtie,H28,-,WF2,,"Bloomfield & Miller, 1986",,likely has subtypes ,monostratified layered,,,wide,,,,INL,,,OFF,,,,11,C482
Comet,AC,Comet,H31,-,,,,,,monostratified layered,,no,wide,asymmetric,,,INL,,,OFF,,,,2,G373
Medium-field deep in IPL sustained,AC,MfDeep-s,,-,,,,,,,,,medium ,,,,GCL,,,,,,,6,
Medium-field deep in IPL transient,AC,MfDeep-t,,-,,,,,,,,,medium ,,,,GCL,,,,,,,8,
Medium-field dorsal pointing low in IPL,AC,MfDeep-d,,-,,,,,,,,,medium ,,,,GCL,,,,,,,3,C199
Medium-field hugging ON ChAT,AC,MfHug,,-,,,,,,,,,medium ,,,,GCL,,,,,,,,C167
Medium-field low in IPL sustained,AC,MfLow-s,,-,"CRH-2, GBX2-S5",,,,,,,,medium ,,,,GCL,,,,,,,52,D308
Medium-field low in IPL transient,AC,MfLow-t,H55 ?,-,VIP3,,"Perez de Sevilla Mueller et al., 2019",,,monostratified ,1,,medium ,slightly asymmetric,branchy wavy,dense-ish,GCL,,,,,,,73,
Medium-field Mid-IPL smooth,AC,MfMid-s,,-,nGnG ? ,,,,,,,no,medium ,asymmetric,,,GCL,,,,,,,51,C334
Medium-field Mid-IPL varicose,AC,MfMid-v,H43,-,Gbx2-S3,,,,,,,no,medium ,asymmetric,,,GCL,,,,,,,29,D202
Midnight,AC,MN,,-,,,,,,,,no,wide,,,,GCL,,,ON,,,,36,D78
nNOS-2,AC,nNOS-2,"H37, H41",-,,,"Jacoby et al., 2018",,likey has sub types,monostratified deep,,,wide,,,,INL/GCL,,,ON,,,,24,
Separate dendrites and axons,AC,SAD,H57,-,,,,,at least two types,monostratified flat,0,yes,wide,asymmetric,"long curly, short cury",,GCL,,,ON,,,,144,D63
ON SAC,AC,On-SAC,H51,-,,,,,,,,no,medium ,symmetric,,,GCL,,,ON,,,,417,D363
OFF SAC,AC,Off-SAC,H33,-,,,,,,,,no,medium ,symmetric,,,INL,,,OFF,,,,113,G142
Dorsal-pointing neurites low in IPL,AC,DpLow,,-,,,,,,,,,,,,,,,,,,,,2,
Wide-field deep in IPL,AC,WfDeep,,-,,,,,,,,,wide,,,,,,,,,,,,
Wide-field mid IPL,AC,WfMid,H37,-,,,,,,,,,wide,,,,,,,,,,,59,D223
Wide-field ON non-spiny dense,AC,WfNs-d,H56,-,,,,,,monostratified flat,0,,wide,asymmetric,straight,dense,GCL,,,ON,,,,39,D273
Wide-field ON non-spiny sparse,AC,WfNs-s,displaced H53,-,,,,,,,,,wide,,,,,,,ON,,,,21,D44
Wide-field ON spiny spikelets,AC,WfS-sl,,-,,,,,,,,probably,wide,,,,,,,ON,,,,31,D104
Wide-field ON spiny spikes,AC,WfS-s,,-,,,,,,,,probably,wide,,,,,,,ON,,,,28,D342
Bursty suppressed by contrast,RGC,bSbC,,2o,,,"Tien et al., 2016 ?","Jacoby et al., 2018",,,,,,,,,GCL,,,,,,,2,D203
M1,RGC,M1,,1ws,,,,,,,,,,,,,GCL,,,,,,,4,D366
F-mini-OFF,RGC,FmOff,,2an,,,"Rousso et al., 2016","Nath et al., 2016",,,,,small ,,,,GCL,,,OFF,,yes,yes ,10,D49
F-mini-ON,RGC,FmOn,,63,,,"Rousso et al., 2016","Nath et al., 2016",,,,,small ,,,,GCL,,,ON,,yes,yes ,9,D69
HD1,RGC,HD1,,5si,,,"Jacoby et al., 2017",,,,,,small ,,,,GCL,,transient ,ON-OFF,,,,5,D311
HD2,RGC,HD2,,5so,"W3b, Object Motion Sensor",,"Zhang et al., 2012","Jacoby et al., 2017",,,,,small ,,,,GCL,strong,transient ,ON-OFF,,,,7,D45
Local edge detector,RGC,LED,H7,51,,,,,,,,,,,,,GCL,,,,,,,,E8
M2,RGC,M2,,9w,,,,,,,,,,,,,GCL,,,,,,,,
M6,RGC,M6,,91,,,,,,,,,,,,,GCL,,,,,,,4,D180
5to,RGC,e5to,,5to,,,,,,,,,,,,,GCL,,,,,,,,
OFF horizontal OS - symmetric,RGC,hOffOS,,2aw,F-midi-OFF,,,,,,,,,,,,GCL,,,OFF,,yes,,,D324
OFF medium sustained,RGC,sOff-m,,2i,,,,,,,,,,,,,GCL,,sustained,OFF,,,,4,D138
OFF OS - subtype unknown,RGC,OffOS,,-,,,,,,,,,,,,,GCL,,,OFF,,yes,,,
OFF sustained alpha,RGC,sOff-a,,1wt,,,,,,,,,,,,,GCL,,sustained,OFF,,,,1,D271
OFF sustained EW1no,RGC,e1no,,1no,,,,,,,,,,,,,GCL,,sustained,OFF,,,,1,D235
OFF sustained EW3o,RGC,e3o,,3o,,,,,,,,,,,,,GCL,,sustained,OFF,,,,1,
OFF transient - subtype unknown,RGC,tOff,,-,,,,,,,,,,,,,GCL,,transient ,OFF,,,,,
OFF transient alpha,RGC,tOff-a,,4ow,,,,,,,,,,,,,GCL,,transient ,OFF,,,,4,D275
OFF transient medium RF,RGC,tOff-m,,4on,,,,,,,,,,,,,GCL,,transient ,OFF,,,,4,D20
OFF transient small RF,RGC,tOff-s,,4i,,,,,,,,,,,,,GCL,,transient ,OFF,,,,5,D357
OFF vertical OS - asymmetric,RGC,vOffOS,,2aw,"JamB, OFF DS",,"Kim et al., 2008",,,,,,,,,,GCL,,transient ,OFF,,yes,yes ,14,D14
ON alpha,RGC,sOn-a,,8w,M4,,,,,,,,,,,,GCL,,,ON,,,,7,D39
ON bursty,RGC,bOnSbC,,3i,,,,,,,,,,,,,GCL,,,ON,,,,3,D189
ON delayed,RGC,dOnSbC,,73,transient SbC,,"Jacoby et al., 2016 ?","Jacoby et al., 2018",,,,,,,,,GCL,,,ON,,,,4,D5
ON DS sustained - direction unknown,RGC,sOnDS,,"7iv,r,d",,,,,,,,,,,,,GCL,,sustained,ON,,,yes ,2,D34
ON DS sustained - dorsonasal,RGC,sOnDS-dn,,7iv,,,,,,,,,,,,,GCL,,sustained,ON,,,yes ,1,
ON DS sustained - temporal,RGC,sOnDS-t,,7ir,,,,,,,,,,,,,GCL,,sustained,ON,,,yes ,2,
ON DS sustained - ventral,RGC,sOnDS-v,,7id,,,,,,,,,,,,,GCL,,transient ,ON,,,yes ,1,
ON DS transient - temporal,RGC,tOnDS-t,,7o,,,,,,,,,,,,,GCL,,,ON,,,yes ,,
ON OS large RF - orientation unknown,RGC,OnOS-l,,-,,,,,,,,,,,,,GCL,,,ON,,yes,,,
ON OS small RF - orientation unknown,RGC,OnOS-s,,-,,,,,,,,,,,,,GCL,,,ON,,yes,,,
ON small OFF large,RGC,On-s-Off-l,,1ni,,,,,,,,,,,,,GCL,,,ON,,,,,E23
ON transient EW6t,RGC,e6t,,6t,,,,,,,,,,,,,GCL,,transient ,ON,,,,2,D19
ON transient medium RF,RGC,tOn-m,,6sw,,,,,,,,,,,,,GCL,,transient ,ON,,,,3,D9
ON transient small RF,RGC,tOn-s,,6sn,,,,,,,,,,,,,GCL,,transient ,ON,,,,3,D113
ON vertical OS large RF,RGC,vOnOS-l,,tbd,,,"Nath et al., 2016",,,,,,,,,,GCL,,,ON,,yes,,,
ON vertical OS small RF,RGC,vOnOS-s,,tbd,,,"Nath et al., 2016",,,,,,,,,,GCL,,,ON,,yes,,1,
ON horizontal OS small RF,RGC,hOnOS-s,,tbd,,,,,,,,,,,,,GCL,,,ON,,yes,,1,
ON horizontal OS large RF,RGC,hOnOSl,,tbd,,,,,,,,,,,,,GCL,,,ON,,yes,,,
ON-OFF - subtype unknown,RGC,OO,,-,,,,,,,,,,,,,GCL,,,ON-OFF,,,,7,
ON-OFF DS - direction unknown,RGC,OODS,H9,37,,,,,,,,,,,,,GCL,,,ON-OFF,,,,8,
ON-OFF DS - dorsal,RGC,OODS-d,,37v,,,,,,,,,,,,,GCL,,,ON-OFF,,,,,
ON-OFF DS - nasal,RGC,OODS-n,,37c,,,,,,,,,,,,,GCL,,,ON-OFF,,,,,
