cell,celltype_final,celltype_final_short,soma_x_um,soma_y_um,soma_z_um,soma_annot_x_um,soma_annot_y_um,soma_annot_z_um
720575940564091521,F-mini-OFF,FmOff,960.218,555.038,-15.3323,962.88,550.608,18.84
720575940568967762,F-mini-OFF,FmOff,964.636,398.88,-14.4473,962.8,395.696,40.32
720575940568909174,F-mini-OFF,FmOff,606.897,344.556,-16.2727,605.488,340.4,29.88
720575940559117405,F-mini-OFF,FmOff,865.748,619.785,-12.3404,865.04,617.52,22.12
720575940580061621,F-mini-OFF,FmOff,576.816,449.124,-12.0666,577.2,444.16,18.52
720575940568661514,F-mini-OFF,FmOff,967.047,738.946,-12.9977,965.984,738.0,19.32
720575940568547661,F-mini-OFF,FmOff,265.342,771.932,-13.2982,260.08,769.536,11.24
720575940568512406,F-mini-OFF,FmOff,96.1966,558.75,-16.4174,92.512,554.736,46.24
720575940568477262,F-mini-OFF,FmOff,874.175,377.504,-13.5617,874.368,373.232,33.44
720575940568447053,F-mini-OFF,FmOff,549.591,783.199,-14.6934,547.392,778.912,15.44
720575940559848547,F-mini-OFF,FmOff,376.251,351.981,-16.5667,372.496,348.224,25.48
720575940559858321,F-mini-OFF,FmOff,843.319,713.456,-14.5691,840.608,708.448,22.12
720575940569026894,F-mini-OFF,FmOff,508.327,954.325,-12.2517,503.056,953.904,22.56
720575940559902813,F-mini-OFF,FmOff,123.271,593.848,-18.2302,120.864,590.56,34.0
720575940560013445,F-mini-OFF,FmOff,435.357,529.806,-14.7554,433.808,529.632,13.52
720575940568424689,F-mini-OFF,FmOff,984.599,479.963,-13.0357,984.384,473.264,28.28
720575940560206939,F-mini-OFF,FmOff,403.683,409.607,-14.9111,400.0,403.296,19.36
720575940560209499,F-mini-OFF,FmOff,652.802,718.717,-14.7753,647.536,718.192,17.12
720575940560466353,F-mini-OFF,FmOff,683.961,927.53,-12.9713,682.432,925.088,17.6
720575940568304269,F-mini-OFF,FmOff,629.175,489.929,-15.9117,630.64,485.504,19.08
720575940568231796,F-mini-OFF,FmOff,680.072,481.634,-14.5047,681.232,481.808,24.96
720575940568225677,F-mini-OFF,FmOff,636.363,970.122,-11.9452,634.352,967.648,19.8
720575940568218774,F-mini-OFF,FmOff,670.566,857.298,-13.5663,667.936,854.384,16.16
720575940560894748,F-mini-OFF,FmOff,859.576,964.592,-12.8398,858.368,962.368,21.0
720575940560927267,F-mini-OFF,FmOff,748.212,660.943,-13.7229,747.376,656.928,24.32
720575940559912547,F-mini-OFF,FmOff,853.748,513.986,-12.1387,853.44,508.384,24.28
720575940558554328,F-mini-OFF,FmOff,822.561,993.46,-12.7791,820.736,988.0,18.04
720575940558498618,F-mini-OFF,FmOff,943.197,819.394,-14.3933,942.128,817.248,23.64
720575940558494680,F-mini-OFF,FmOff,808.944,740.05,-13.9832,808.896,737.712,22.4
720575940556826614,F-mini-OFF,FmOff,780.682,576.744,-14.3762,778.864,573.12,24.72
720575940570719513,F-mini-OFF,FmOff,334.165,306.405,-16.6955,332.448,297.92,38.96
720575940556909059,F-mini-OFF,FmOff,770.125,360.698,-14.3306,769.488,357.248,37.72
720575940570615659,F-mini-OFF,FmOff,896.551,1015.53,-14.2077,893.664,1010.88,23.16
720575940557085699,F-mini-OFF,FmOff,373.594,709.162,-16.6213,371.072,705.824,11.56
720575940557215330,F-mini-OFF,FmOff,688.227,654.062,-12.8954,687.136,654.8,19.52
720575940557252146,F-mini-OFF,FmOff,1016.12,943.015,-13.0796,1014.432,938.88,24.92
720575940570359361,F-mini-OFF,FmOff,315.285,795.624,-18.3723,311.184,794.96,5.96
720575940570302120,F-mini-OFF,FmOff,939.722,944.972,-12.3175,935.328,942.816,22.0
720575940570283829,F-mini-OFF,FmOff,711.67,499.964,-15.1848,710.8,496.72,25.48
720575940579234761,F-mini-OFF,FmOff,288.825,328.996,-16.7849,286.512,330.144,35.84
720575940579995024,F-mini-OFF,FmOff,95.1937,883.761,-13.7439,92.336,882.432,45.52
720575940557604824,F-mini-OFF,FmOff,603.712,553.87,-13.6472,601.696,546.272,18.4
720575940557620551,F-mini-OFF,FmOff,556.826,1088.11,-13.2018,555.904,1088.336,26.2
720575940569645224,F-mini-OFF,FmOff,1003.49,780.471,-11.2379,1005.072,777.344,23.76
720575940564417693,F-mini-OFF,FmOff,484.784,613.374,-14.538,483.472,610.736,18.16
720575940569445488,F-mini-OFF,FmOff,115.828,429.011,-20.6852,112.256,425.696,58.76
720575940557861500,F-mini-OFF,FmOff,600.003,804.084,-14.1099,597.984,801.84,18.4
720575940569194436,F-mini-OFF,FmOff,641.658,388.521,-14.7562,640.496,384.016,26.48
720575940569188430,F-mini-OFF,FmOff,164.44,906.787,-15.6674,160.688,904.08,33.72
720575940583231355,F-mini-OFF,FmOff,472.272,673.319,-13.363,468.48,669.84,16.48
720575940558160455,F-mini-OFF,FmOff,735.01,716.598,-12.5575,729.584,714.48,19.72
720575940569104210,F-mini-OFF,FmOff,998.84,558.83,-11.4881,997.456,556.624,22.24
720575940558209316,F-mini-OFF,FmOff,308.212,833.303,-15.0693,304.272,829.808,9.44
720575940558331608,F-mini-OFF,FmOff,202.838,434.846,-15.2068,199.072,423.696,37.92
720575940561011548,F-mini-OFF,FmOff,457.334,244.508,-16.2836,454.512,239.632,41.2
720575940561017829,F-mini-OFF,FmOff,982.949,441.816,-14.8539,986.16,440.08,29.04
720575940561236622,F-mini-OFF,FmOff,261.082,474.201,-12.7164,253.824,466.736,21.64
720575940561362137,F-mini-OFF,FmOff,229.992,821.972,-12.3838,224.4,819.728,19.2
720575940563267355,F-mini-OFF,FmOff,581.656,276.203,-17.2177,580.176,272.128,38.88
720575940563327390,F-mini-OFF,FmOff,494.106,715.686,-15.3357,491.04,709.92,9.96
720575940563434523,F-mini-OFF,FmOff,716.925,349.481,-16.8432,717.024,346.96,36.8
720575940566129840,F-mini-OFF,FmOff,100.645,643.643,-15.3636,100.08,640.832,39.0
720575940566089633,F-mini-OFF,FmOff,221.876,857.367,-13.1444,221.2,856.736,15.24
720575940581415576,F-mini-OFF,FmOff,593.155,615.41,-13.483,591.392,610.784,12.8
720575940563604353,F-mini-OFF,FmOff,413.351,579.213,-14.5226,411.504,577.008,12.72
720575940563610605,F-mini-OFF,FmOff,316.611,562.551,-17.1007,311.952,558.544,14.8
720575940580595577,F-mini-OFF,FmOff,233.093,370.151,-16.5561,229.328,366.608,41.96
720575940565988079,F-mini-OFF,FmOff,158.035,942.746,-16.0758,153.648,944.832,34.96
720575940563685477,F-mini-OFF,FmOff,796.014,449.738,-12.7385,795.52,446.304,32.48
720575940563693281,F-mini-OFF,FmOff,318.699,660.478,-15.1868,312.896,655.024,10.08
720575940565621789,F-mini-OFF,FmOff,415.568,271.979,-13.4251,413.168,264.928,44.36
720575940565394205,F-mini-OFF,FmOff,472.384,388.921,7.97946,530.96,349.952,72.72
720575940565326580,F-mini-OFF,FmOff,244.846,579.938,-14.7659,237.936,575.2,14.88
720575940565142692,F-mini-OFF,FmOff,358.851,652.246,-14.8155,354.304,647.888,11.88
720575940565080815,F-mini-OFF,FmOff,784.909,272.993,-14.5283,783.296,270.56,41.84
720575940564001105,F-mini-OFF,FmOff,702.266,761.005,-13.7071,701.264,757.12,20.08
720575940565079938,F-mini-OFF,FmOff,176.482,757.509,-15.5923,174.848,759.744,16.96
720575940580762520,F-mini-OFF,FmOff,868.631,708.372,-11.9869,868.08,708.0,20.88
720575940564051537,F-mini-OFF,FmOff,880.246,534.963,-13.2989,879.872,532.208,22.84
720575940564986276,F-mini-OFF,FmOff,680.608,280.892,-15.699,680.144,277.6,43.56
720575940564167195,F-mini-OFF,FmOff,917.728,676.593,-12.0246,916.576,672.848,21.28
720575940564724253,F-mini-OFF,FmOff,843.196,337.133,-12.8824,841.392,331.952,40.08
720575940564680941,F-mini-OFF,FmOff,744.562,994.113,-13.8032,741.888,993.424,19.12
720575940563115560,F-mini-OFF,FmOff,737.175,590.95,-13.6839,734.976,587.92,23.88
720575940556807751,F-mini-OFF,FmOff,212.54,723.934,-14.5421,210.448,718.976,13.24
720575940581506942,F-mini-OFF,FmOff,366.729,942.486,-14.081,364.608,943.536,17.48
720575940580372849,F-mini-OFF,FmOff,999.79,722.86,-12.7323,999.952,720.512,20.56
720575940567857516,F-mini-OFF,FmOff,460.771,942.478,-16.2577,458.816,941.6,9.08
720575940561485291,F-mini-OFF,FmOff,546.311,413.127,-15.575,545.088,407.44,17.64
720575940561557733,F-mini-OFF,FmOff,618.093,1015.06,-15.1829,614.528,1011.632,22.24
720575940580267189,F-mini-OFF,FmOff,467.17,801.477,-16.2853,464.72,799.984,13.0
720575940582771262,F-mini-OFF,FmOff,520.364,354.383,-13.4791,514.944,347.264,22.8
720575940567705562,F-mini-OFF,FmOff,525.048,515.413,-21.4245,519.056,511.648,8.96
720575940567688181,F-mini-OFF,FmOff,517.429,1069.32,-14.0141,516.176,1066.64,30.88
720575940561745322,F-mini-OFF,FmOff,308.775,611.472,-17.6244,303.472,607.776,14.36
720575940567502770,F-mini-OFF,FmOff,623.554,282.406,-15.662,622.48,278.096,38.92
720575940561895653,F-mini-OFF,FmOff,170.562,428.107,-17.6706,166.832,425.536,48.4
720575940582416254,F-mini-OFF,FmOff,967.139,671.033,-12.7178,966.736,668.624,22.12
720575940562180940,F-mini-OFF,FmOff,830.113,779.92,-13.4757,829.408,783.216,15.72
720575940567399606,F-mini-OFF,FmOff,924.253,372.209,-12.2,926.992,364.544,36.36
720575940562236318,F-mini-OFF,FmOff,946.619,780.161,-12.299,942.48,774.752,19.64
720575940567149574,F-mini-OFF,FmOff,175.628,823.629,-12.8728,171.36,822.592,25.4
720575940582275902,F-mini-OFF,FmOff,654.267,818.004,-14.1671,651.104,818.336,10.76
720575940567126028,F-mini-OFF,FmOff,717.45,545.958,-11.959,716.096,542.672,24.84
720575940562608045,F-mini-OFF,FmOff,795.247,842.144,-12.5753,793.472,838.224,20.68
720575940567027930,F-mini-OFF,FmOff,214.071,527.649,-13.8449,209.872,524.784,25.4
