,celltype_final,celltype_final_short,soma_x_um,soma_y_um,soma_z_um,soma_annot_x_um,soma_annot_y_um,soma_annot_z_um
720575940556786663,F-mini-OFF,FmOff,712.514,630.707,-13.9127,711.456,627.776,24.8
720575940553070349,F-mini-ON,FmOn,653.626,564.462,-13.5835,652.224,562.304,19.72
720575940557925925,HD1,HD1,689.046,636.502,-15.2423,685.872,634.784,20.84
720575940581436798,HD2,HD2,643.422,570.128,-16.1628,641.296,565.36,17.12
720575940563710248,Local edge detector,LED,728.433,670.609,-15.0169,727.264,665.744,20.76
720575940562833781,M1,M1,613.699,656.345,-14.9462,613.6,653.296,22.52
720575940568512543,M2,M2,632.227,465.351,-18.2485,629.68,456.896,17.28
720575940577141820,M6,M6,661.193,668.169,-13.5157,659.152,669.472,15.0
720575940556737844,OFF sustained alpha,sOff-a,655.418,657.667,-11.9965,653.008,658.288,15.16
720575940559143627,OFF transient alpha,tOff-a,729.901,578.057,-12.3807,724.512,575.936,26.44
720575940562516341,OFF transient medium RF,tOff-m,665.418,626.064,-13.63,662.144,623.232,18.72
720575940552509786,OFF transient small RF,tOff-s,647.297,619.102,-14.4597,645.856,616.528,17.04
720575940565664932,OFF vertical OS - asymmetric,vOffOS,717.139,609.73,-13.3582,714.384,607.28,24.84
720575940546090892,ON DS sustained - direction unknown,sOnDS,657.804,579.512,-14.8626,656.848,573.36,19.04
720575940561810508,ON OS small RF - orientation unknown,OnOS-s,559.934,224.812,-19.1801,561.52,221.36,36.92
720575940575166292,ON alpha,sOn-a,621.445,499.045,-15.1196,616.304,495.008,19.88
720575940580688753,ON transient medium RF,tOn-m,897.447,577.607,-12.245,897.184,567.44,20.36
720575940577092100,ON transient small RF,tOn-s,741.892,584.152,-15.6033,737.232,578.16,19.68
720575940555217635,ON vertical OS small RF,vOnOS-s,669.93,546.288,-13.0795,668.624,543.28,20.72
720575940559162723,ON-OFF DS - direction unknown,OODS,677.248,602.973,-13.1555,672.704,599.712,21.36
720575940555336675,PixON,M5,752.319,546.326,-13.6401,750.048,543.76,22.48
720575940565684702,UHD,UHD,663.182,568.162,-13.1327,660.528,565.344,22.76
