cell,celltype_final,soma_x_um,soma_y_um,soma_z_um,soma_annot_x_um,soma_annot_y_um,soma_annot_z_um
720575940563388827,OFF SAC,226.748,421.137,20.482,223.76,416.08,81.64
720575940570467752,OFF SAC,1093.22,724.91,16.7784,1089.328,718.368,82.4
720575940559566603,OFF SAC,480.482,617.32,24.9886,479.84,615.392,64.08
720575940559570269,OFF SAC,566.125,737.453,23.8746,564.544,734.224,67.48
720575940559580764,OFF SAC,400.221,445.806,28.9594,399.168,439.04,70.76
720575940570288324,OFF SAC,235.458,606.354,23.7943,232.224,598.112,62.16
720575940559672157,OFF SAC,324.557,547.604,29.7468,321.12,542.688,62.96
720575940559678557,OFF SAC,259.913,600.666,26.4694,255.536,596.496,61.88
720575940570243609,OFF SAC,1024.22,486.574,25.1036,1026.288,485.6,81.76
720575940570496577,OFF SAC,115.466,761.111,19.6118,113.92,759.92,79.72
720575940559748124,OFF SAC,901.024,651.871,25.3104,901.536,649.12,65.24
720575940559803996,OFF SAC,305.568,993.623,24.1556,302.112,990.56,70.68
720575940559842696,OFF SAC,624.924,400.299,25.1279,624.56,396.736,81.76
720575940570183275,OFF SAC,813.339,519.213,26.7863,812.112,514.88,81.64
720575940570124400,OFF SAC,720.55,787.697,30.0702,719.232,784.736,71.04
720575940559979413,OFF SAC,723.8,927.665,32.9704,721.584,923.712,71.32
720575940570103373,OFF SAC,269.359,487.968,28.5436,267.872,482.384,75.92
720575940570098804,OFF SAC,698.627,648.566,26.4367,700.176,648.096,74.6
720575940560100232,OFF SAC,176.19,802.791,24.1248,172.784,800.096,68.76
720575940570232336,OFF SAC,273.897,992.718,24.3103,272.16,991.6,72.08
720575940570542760,OFF SAC,738.036,912.938,32.7188,733.824,911.072,67.6
720575940559488401,OFF SAC,1049.13,479.949,20.3987,1047.888,477.168,80.92
720575940559417636,OFF SAC,436.594,789.326,25.5802,431.888,786.432,57.12
720575940558844452,OFF SAC,738.489,1005.75,28.646,734.288,1000.656,68.04
720575940559010362,OFF SAC,698.397,799.502,24.9522,697.984,796.88,64.48
720575940571004697,OFF SAC,435.627,531.291,26.5837,432.992,526.688,62.96
720575940559063332,OFF SAC,778.769,734.39,27.4214,776.816,730.304,64.84
720575940570992665,OFF SAC,358.125,430.13,25.1217,354.88,425.68,66.88
720575940570964001,OFF SAC,154.469,819.904,26.1382,151.456,817.888,74.16
720575940559131662,OFF SAC,482.39,1081.31,22.7321,480.08,1078.928,73.04
720575940570959796,OFF SAC,391.546,374.191,25.528,388.368,369.584,82.4
720575940559158308,OFF SAC,392.808,492.627,30.0343,389.6,487.712,64.0
720575940570955545,OFF SAC,642.669,678.602,22.5766,640.624,672.512,67.88
720575940570951596,OFF SAC,508.052,649.215,24.3484,504.064,648.08,58.8
720575940559216421,OFF SAC,750.076,811.409,24.5542,749.232,806.48,68.08
720575940559221141,OFF SAC,477.716,1096.85,19.08,475.312,1096.016,81.44
720575940570905625,OFF SAC,681.959,686.884,23.8457,680.0,683.792,65.8
720575940570797089,OFF SAC,505.457,563.335,29.5874,502.528,558.656,64.56
720575940559334603,OFF SAC,673.701,415.82,24.6796,671.568,411.504,79.88
720575940570695201,OFF SAC,314.648,780.86,32.6135,309.2,778.16,53.6
720575940570692063,OFF SAC,138.537,774.285,25.8822,134.896,770.896,78.24
720575940559415185,OFF SAC,288.609,380.768,21.976,287.36,376.88,81.96
720575940570052685,OFF SAC,304.505,952.081,26.8081,300.768,951.52,63.8
720575940558770490,OFF SAC,596.108,569.38,23.9888,593.344,564.688,69.68
720575940560118438,OFF SAC,620.734,921.643,27.3563,618.288,920.208,65.52
720575940570045215,OFF SAC,547.76,909.575,25.6963,542.832,908.064,62.44
720575940560637573,OFF SAC,574.272,422.428,23.7858,572.144,415.968,70.08
720575940560658707,OFF SAC,651.437,398.848,23.5629,650.72,395.648,75.48
720575940569796127,OFF SAC,393.996,575.793,27.6904,389.584,571.232,62.08
720575940569783915,OFF SAC,655.909,484.07,24.3013,655.76,480.016,66.88
720575940569742774,OFF SAC,576.609,550.335,23.528,574.512,545.904,65.92
720575940560733390,OFF SAC,405.238,1044.56,24.6022,404.56,1044.992,68.32
720575940569687373,OFF SAC,779.021,791.27,24.1083,777.04,788.736,69.72
720575940560737616,OFF SAC,341.198,445.563,22.3664,337.184,440.896,65.64
720575940569814297,OFF SAC,603.884,1090.46,24.2198,601.648,1089.92,71.16
720575940560751246,OFF SAC,735.378,574.426,25.4449,732.816,570.448,69.08
720575940560789852,OFF SAC,918.91,1019.44,24.3468,915.232,1017.952,66.8
720575940569645406,OFF SAC,691.989,575.921,26.4779,689.408,575.264,70.12
720575940569628088,OFF SAC,1084.12,917.517,21.5861,1083.968,919.456,81.96
720575940560868542,OFF SAC,235.452,435.855,22.2393,227.696,430.128,81.24
