,celltype_final,soma_x_um,soma_y_um,soma_z_um
720575940574397654,GluMI,707.774,641.992,33.199
720575940574595645,RBC,714.3,600.179,31.6072
720575940548532887,XBC,680.072,580.085,34.0066
720575940559412275,t1,651.001,588.193,34.5401
720575940570727340,t2,663.706,573.319,33.9181
720575940541656952,t3a,713.978,596.017,32.5389
720575940557995011,t3b,710.704,579.033,33.9982
720575940568459085,t4,664.262,588.486,33.9654
720575940575595901,t5i,662.847,599.714,35.274
720575940569772321,t5o,676.78,575.532,33.0858
720575940576720917,t5t,692.979,566.293,30.5744
720575940560040085,t6,722.469,607.854,31.1695
720575940555035390,t7,713.909,592.923,32.6367
720575940561334442,t8,686.355,620.212,34.5851
720575940572873533,t9,694.759,576.607,33.0148
